Circle 1: x=808, y=277, r=34;
Circle 736: x=619, y=293, r=28;
Circle 737: x=682, y=116, r=32;
Circle 738: x=480, y=492, r=25;
Circle 739: x=175, y=963, r=35;
Circle 740: x=698, y=56, r=29;
Circle 741: x=229, y=52, r=34;
Circle 742: x=842, y=221, r=15;
Circle 743: x=853, y=910, r=8;
Circle 744: x=657, y=159, r=6;
Circle 745: x=468, y=454, r=24;
Circle 746: x=191, y=64, r=9;
Circle 747: x=4, y=834, r=7;
Circle 748: x=44, y=79, r=14;
Circle 749: x=965, y=955, r=38;
Circle 750: x=843, y=312, r=30;
Circle 751: x=385, y=897, r=29;
Circle 752: x=239, y=789, r=40;
Circle 753: x=676, y=193, r=29;
Circle 754: x=357, y=499, r=28;
Circle 755: x=395, y=519, r=12;
Circle 756: x=788, y=42, r=41;
Circle 757: x=676, y=916, r=19;
Circle 758: x=4, y=514, r=18;
Circle 759: x=227, y=646, r=11;
Circle 760: x=14, y=428, r=29;
Circle 761: x=802, y=379, r=25;
Circle 762: x=123, y=352, r=49;
Circle 763: x=80, y=679, r=44;
Circle 764: x=970, y=362, r=17;
Circle 765: x=391, y=370, r=25;
Circle 766: x=554, y=885, r=18;
Circle 767: x=956, y=68, r=16;
Circle 768: x=606, y=81, r=15;
Circle 769: x=478, y=870, r=23;
Circle 770: x=663, y=817, r=21;
Circle 771: x=549, y=812, r=9;
Circle 772: x=110, y=335, r=33;
Circle 773: x=159, y=434, r=11;
Circle 774: x=331, y=381, r=11;
Circle 775: x=302, y=723, r=15;
Circle 776: x=536, y=621, r=49;
Circle 777: x=134, y=170, r=45;
Circle 778: x=755, y=258, r=6;
Circle 779: x=113, y=118, r=12;
Circle 780: x=402, y=885, r=28;
Circle 781: x=437, y=506, r=39;
Circle 782: x=418, y=236, r=24;
Circle 783: x=510, y=122, r=21;
Circle 784: x=225, y=164, r=45;
Circle 785: x=695, y=786, r=10;
Circle 786: x=356, y=346, r=34;
Circle 787: x=530, y=845, r=41;
Circle 788: x=790, y=545, r=39;
Circle 789: x=45, y=91, r=5;
Circle 790: x=42, y=611, r=33;
Circle 791: x=444, y=657, r=28;
Circle 792: x=726, y=343, r=29;
Circle 793: x=747, y=244, r=31;
Circle 794: x=406, y=967, r=34;
Circle 795: x=626, y=261, r=36;
Circle 796: x=408, y=79, r=29;
Circle 797: x=596, y=583, r=47;
Circle 798: x=99, y=643, r=43;
Circle 799: x=694, y=553, r=18;
Circle 800: x=638, y=422, r=12;
Circle 801: x=903, y=175, r=15;
Circle 802: x=484, y=930, r=13;
Circle 803: x=692, y=364, r=44;
Circle 804: x=519, y=271, r=36;
Circle 805: x=58, y=237, r=26;
Circle 806: x=447, y=666, r=5;
Circle 807: x=536, y=984, r=36;
Circle 808: x=644, y=193, r=9;
Circle 809: x=171, y=614, r=14;
Circle 810: x=663, y=121, r=33;
Circle 811: x=400, y=194, r=28;
Circle 812: x=496, y=794, r=27;
Circle 813: x=702, y=283, r=37;
Circle 814: x=676, y=293, r=21;
Circle 815: x=693, y=800, r=23;
Circle 816: x=308, y=788, r=32;
Circle 817: x=624, y=570, r=41;
Circle 818: x=402, y=863, r=13;
Circle 819: x=741, y=260, r=13;
Circle 820: x=587, y=984, r=48;
Circle 821: x=234, y=573, r=13;
Circle 822: x=860, y=1000, r=6;
Circle 823: x=958, y=91, r=45;
Circle 824: x=770, y=235, r=32;
Circle 825: x=520, y=459, r=19;
Circle 826: x=961, y=456, r=48;
Circle 827: x=721, y=559, r=16;
Circle 828: x=112, y=838, r=39;
Circle 829: x=790, y=474, r=49;
Circle 830: x=511, y=101, r=5;
Circle 831: x=680, y=528, r=15;
Circle 832: x=123, y=313, r=49;
Circle 833: x=155, y=513, r=43;
Circle 834: x=856, y=82, r=50;
Circle 835: x=123, y=650, r=39;
Circle 836: x=202, y=435, r=14;
Circle 837: x=702, y=950, r=41;
Circle 838: x=316, y=862, r=11;
Circle 839: x=119, y=633, r=42;
Circle 840: x=807, y=121, r=7;
Circle 841: x=362, y=133, r=5;
Circle 842: x=634, y=164, r=15;
Circle 843: x=255, y=914, r=48;
Circle 844: x=871, y=291, r=22;
Circle 845: x=408, y=492, r=5;
Circle 846: x=247, y=408, r=42;
Circle 847: x=790, y=537, r=31;
Circle 848: x=769, y=616, r=20;
Circle 849: x=997, y=556, r=15;
Circle 850: x=720, y=444, r=19;
Circle 851: x=413, y=668, r=10;
Circle 852: x=796, y=352, r=37;
Circle 853: x=104, y=985, r=12;
Circle 854: x=249, y=99, r=36;
Circle 855: x=963, y=655, r=32;
Circle 856: x=186, y=169, r=6;
Circle 857: x=524, y=878, r=36;
Circle 858: x=132, y=135, r=16;
Circle 859: x=196, y=949, r=37;
Circle 860: x=422, y=584, r=33;
Circle 861: x=877, y=629, r=26;
Circle 862: x=262, y=511, r=50;
Circle 863: x=14, y=121, r=9;
Circle 864: x=798, y=455, r=27;
Circle 865: x=723, y=138, r=37;
Circle 866: x=784, y=392, r=20;
Circle 867: x=185, y=909, r=21;
Circle 868: x=371, y=894, r=30;
Circle 869: x=7, y=306, r=15;
Circle 870: x=738, y=83, r=40;
Circle 871: x=404, y=956, r=35;
Circle 872: x=204, y=137, r=43;
Circle 873: x=916, y=21, r=16;
Circle 874: x=682, y=260, r=32;
Circle 875: x=827, y=447, r=30;
Circle 876: x=218, y=170, r=43;
Circle 877: x=954, y=564, r=35;
Circle 878: x=418, y=119, r=41;
Circle 879: x=534, y=905, r=37;
Circle 880: x=586, y=463, r=25;
Circle 881: x=755, y=843, r=28;
Circle 882: x=733, y=418, r=9;
Circle 883: x=173, y=163, r=25;
Circle 884: x=278, y=294, r=24;
Circle 885: x=435, y=858, r=30;
Circle 886: x=699, y=587, r=38;
Circle 887: x=186, y=776, r=32;
Circle 888: x=919, y=154, r=14;
Circle 889: x=113, y=437, r=26;
Circle 890: x=538, y=636, r=39;
Circle 891: x=176, y=116, r=18;
Circle 892: x=680, y=69, r=16;
Circle 893: x=817, y=485, r=45;
Circle 894: x=229, y=31, r=31;
Circle 895: x=107, y=264, r=41;
Circle 896: x=857, y=599, r=50;
Circle 897: x=845, y=195, r=39;
Circle 898: x=94, y=929, r=48;
Circle 899: x=940, y=489, r=30;
Circle 900: x=1, y=499, r=30;
Circle 901: x=601, y=398, r=23;
Circle 902: x=996, y=30, r=17;
Circle 903: x=116, y=377, r=39;
Circle 904: x=393, y=159, r=50;
Circle 905: x=870, y=67, r=5;
Circle 906: x=139, y=433, r=6;
Circle 907: x=609, y=30, r=29;
Circle 908: x=869, y=481, r=27;
Circle 909: x=889, y=672, r=13;
Circle 910: x=311, y=469, r=28;
Circle 911: x=970, y=190, r=25;
Circle 912: x=757, y=501, r=27;
Circle 913: x=15, y=280, r=21;
Circle 914: x=769, y=442, r=36;
Circle 915: x=362, y=48, r=36;
Circle 916: x=715, y=364, r=8;
Circle 917: x=843, y=898, r=32;
Circle 918: x=298, y=71, r=16;
Circle 919: x=993, y=698, r=26;
Circle 920: x=771, y=102, r=29;
Circle 921: x=444, y=258, r=38;
Circle 922: x=522, y=845, r=24;
Circle 923: x=344, y=614, r=14;
Circle 924: x=716, y=909, r=46;
Circle 925: x=523, y=964, r=5;
Circle 926: x=979, y=543, r=35;
Circle 927: x=320, y=507, r=19;
Circle 928: x=578, y=988, r=19;
Circle 929: x=229, y=26, r=24;
Circle 930: x=682, y=506, r=11;
Circle 931: x=969, y=6, r=6;
Circle 932: x=286, y=122, r=37;
Circle 933: x=245, y=596, r=30;
Circle 934: x=713, y=601, r=23;
Circle 935: x=570, y=644, r=14;
Circle 936: x=539, y=912, r=7;
Circle 937: x=196, y=757, r=26;
Circle 938: x=561, y=449, r=13;
Circle 939: x=161, y=67, r=28;
Circle 940: x=909, y=167, r=27;
Circle 941: x=638, y=196, r=50;
Circle 942: x=842, y=445, r=36;
Circle 943: x=504, y=280, r=19;
Circle 944: x=401, y=421, r=11;
Circle 945: x=599, y=238, r=33;
Circle 946: x=955, y=265, r=41;
Circle 947: x=589, y=359, r=15;
Circle 948: x=946, y=604, r=41;
Circle 949: x=210, y=267, r=20;
Circle 950: x=594, y=458, r=19;
Circle 951: x=426, y=282, r=42;
Circle 952: x=809, y=596, r=10;
Circle 953: x=609, y=567, r=9;
Circle 954: x=918, y=464, r=23;
Circle 955: x=556, y=225, r=17;
Circle 956: x=788, y=20, r=5;
Circle 957: x=817, y=184, r=29;
Circle 958: x=196, y=186, r=47;
Circle 959: x=40, y=331, r=37;
Circle 960: x=132, y=533, r=24;
Circle 961: x=879, y=550, r=46;
Circle 962: x=656, y=553, r=41;
Circle 963: x=441, y=794, r=19;
Circle 964: x=614, y=849, r=6;
Circle 965: x=527, y=921, r=10;
Circle 966: x=74, y=22, r=18;
Circle 967: x=593, y=19, r=32;
Circle 968: x=465, y=636, r=6;
Circle 969: x=542, y=566, r=32;
Circle 970: x=675, y=541, r=18;
Circle 971: x=447, y=605, r=6;
Circle 972: x=666, y=621, r=25;
Circle 973: x=541, y=179, r=18;
Circle 974: x=106, y=426, r=27;
Circle 975: x=195, y=989, r=26;
Circle 976: x=475, y=162, r=8;
Circle 977: x=982, y=808, r=17;
Circle 978: x=260, y=242, r=12;
Circle 979: x=931, y=773, r=25;
Circle 980: x=438, y=811, r=46;
Circle 981: x=222, y=822, r=50;
Circle 982: x=538, y=742, r=29;
Circle 983: x=491, y=924, r=9;
Circle 984: x=41, y=730, r=45;
Circle 985: x=131, y=73, r=36;
Circle 986: x=691, y=744, r=34;
Circle 987: x=605, y=501, r=39;
Circle 988: x=656, y=415, r=45;
Circle 989: x=627, y=455, r=5;
Circle 990: x=918, y=691, r=41;
Circle 991: x=876, y=65, r=36;
Circle 992: x=377, y=809, r=31;
Circle 993: x=494, y=198, r=32;
Circle 994: x=872, y=963, r=21;
Circle 995: x=132, y=968, r=21;
Circle 996: x=678, y=142, r=9;
Circle 997: x=808, y=473, r=22;
Circle 998: x=163, y=277, r=49;
Circle 999: x=969, y=726, r=26;
Circle 1000: x=366, y=947, r=10;
